# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Mar  5 18:00:22 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00012351 -2.10000 9.70000 0.8759328127 2.4426557730    0.875  0.250  3.8385  4.435    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.44e-13      0.00 8.141e-01 1.858e-01 1.839e-05 5.047e-06 4.604e-05 -1.000 1.152e-04 4.144 4.559 4.446 4.256 4.133 4.027 3.793 3.771
0.00012351 -2.10000 9.70000 0.8919814825 2.4471176978    0.891  0.311  3.8451  4.409    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-13      0.00 8.138e-01 1.861e-01 1.841e-05 5.054e-06 4.610e-05 -1.000 1.141e-04 3.991 4.383 4.275 4.094 3.978 3.877 3.655 3.635
0.00012351 -2.10000 9.70000 0.8999999762 2.4492786016    0.899  0.343  3.8486  4.395    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-13      0.00 8.136e-01 1.863e-01 1.842e-05 5.058e-06 4.613e-05 -1.000 1.180e-04 3.913 4.293 4.188 4.012 3.899 3.801 3.584 3.565
0.00012351 -2.10000 9.70000 0.9105358124 2.4520514745    0.909  0.385  3.8538  4.379    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-13      0.00 8.136e-01 1.862e-01 1.842e-05 5.056e-06 4.611e-05 -1.000 1.294e-04 3.807 4.169 4.068 3.899 3.792 3.698 3.491 3.473
0.00012351 -2.10000 9.70000 0.9213243723 2.4548154164    0.920  0.430  3.8595  4.362    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-13      0.00 8.137e-01 1.862e-01 1.841e-05 5.055e-06 4.610e-05 -1.000 1.260e-04 3.695 4.037 3.941 3.780 3.678 3.588 3.391 3.375
0.00012351 -2.10000 9.70000 0.9308977127 2.4572064345    0.930  0.471  3.8648  4.346    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-13      0.00 8.137e-01 1.862e-01 1.841e-05 5.055e-06 4.610e-05 -1.000 1.055e-04 3.591 3.915 3.823 3.669 3.573 3.487 3.300 3.285
0.00012351 -2.10000 9.70000 0.9404653311 2.4595401795    0.939  0.515  3.8705  4.330    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.89e-13      0.00 8.136e-01 1.863e-01 1.842e-05 5.056e-06 4.611e-05 -1.000 7.856e-05 3.483 3.788 3.700 3.553 3.463 3.382 3.206 3.192
0.00012351 -2.10000 9.70000 0.9500000477 2.4618122009    0.949  0.560  3.8763  4.313    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-13      0.00 8.136e-01 1.864e-01 1.843e-05 5.057e-06 4.612e-05 -1.000 6.767e-05 3.371 3.656 3.572 3.434 3.350 3.274 3.108 3.096
0.00012351 -2.10000 9.70000 0.9580400586 2.4636876870    0.957  0.598  3.8817  4.299    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -3.59e-13      0.00 8.138e-01 1.861e-01 1.841e-05 5.053e-06 4.608e-05 -1.000 6.579e-05 3.274 3.541 3.462 3.331 3.252 3.180 3.025 3.014
0.00012351 -2.10000 9.70000 0.9691708088 2.4662251764    0.968  0.655  3.8889  4.277    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -4.17e-13      0.00 8.141e-01 1.858e-01 1.839e-05 5.049e-06 4.605e-05 -1.000 9.911e-05 3.133 3.376 3.302 3.181 3.110 3.044 2.903 2.894
